Household_Size,Seasonal_Index,Garden_Area,Daily_Liters_Used
7,1.1,22,667
4,1.34,29,541.8
5,1.13,37,627.6
7,1.63,44,864.6
3,1.07,47,519.4
5,1.77,16,566.4
5,1.26,48,703.2
7,1.64,40,830.8
2,0.99,8,305.8
3,1.21,9,396.2
7,1.5,41,825
3,0.94,12,352.8
3,0.93,46,513.6
5,1.77,32,683.4
4,1.51,35,575.2
3,0.84,13,346.8
6,1.2,33,681
5,1.23,18,559.6
2,1.54,44,523.8
4,1.05,45,599
6,0.98,26,607.6
6,0.88,15,527.6
2,1.23,27,407.6
4,1.49,5,414.8
5,0.86,41,591.2
1,1.72,25,373.4
4,1.24,30,536.8
2,1.04,40,425.8
6,0.89,27,609.8
5,0.98,5,413.6
4,1.73,44,668.6
1,1.44,19,309.8
1,1.32,25,358.4
3,1.46,13,416.2
3,1.24,13,411.8
7,1.53,14,683.6
2,0.85,30,358
4,1.37,45,638.4
4,0.96,39,550.2
7,0.92,29,678.4
6,1.14,30,675.8
6,0.89,15,534.8
7,0.89,42,750.8
6,1.11,6,527.2
3,1.78,11,465.6
4,0.98,22,442.6
7,0.82,31,661.4
4,1.56,38,616.2
1,1.61,31,384.2
3,1.15,21,402
5,1.26,47,696.2
3,1.45,48,595
7,0.85,28,665
5,1.75,29,652
1,1.69,11,346.8
7,1.06,10,581.2
2,0.82,28,357.4
4,1.73,37,638.6
1,1.3,33,379
4,1.34,47,626.8
6,1.48,26,640.6
2,1.42,30,429.4
2,1.74,32,489.8
1,1.74,25,398.8
2,1.67,11,394.4
5,1.44,21,550.8
2,1.6,24,428
4,1.48,45,628.6
4,1.37,24,505.4
7,0.93,26,652.6
4,1.61,32,579.2
7,1.62,44,813.4
4,1.43,11,489.6
5,1.62,5,489.4
7,1.45,36,765
3,1.01,17,381.2
6,1.07,34,683.4
1,1.01,27,344.2
4,1.18,23,483.6
2,0.84,36,419.8
4,1.42,34,563.4
2,1.14,33,437.8
6,1.46,49,778.2
6,1.19,33,648.8
6,1.48,34,712.6
2,1.14,20,384.8
4,1.06,44,591.2
6,1.3,23,652
5,1.49,22,569.8
7,1.15,5,559
2,1.74,18,416.8
2,0.84,6,230.8
4,1.22,32,548.4
2,1.77,34,477.4
2,1.35,42,508
6,1.22,8,530.4
4,1.37,5,430.4
6,1.38,12,605.6
7,1.53,33,748.6
7,0.93,43,773.6
6,1.05,7,513
7,1.38,36,760.6
4,1.67,14,513.4
1,1.36,14,308.2
6,1.04,23,602.8
5,1.48,38,665.6
5,1.54,37,642.8
2,1.04,27,365.8
7,1.18,32,725.6
5,1.33,36,621.6
2,1.3,11,341
1,1.19,33,375.8
4,1.1,12,416
4,0.9,5,397
4,0.85,7,375
5,1.76,28,649.2
1,1.65,27,373
5,1.15,12,519
7,1.76,41,837.2
5,1.48,7,483.6
1,1.28,37,414.6
1,1.29,32,357.8
7,0.88,12,574.6
1,0.89,38,347.8
1,1.4,39,403
4,1.35,36,578
7,1.01,28,653.2
3,1.75,18,466
3,1.58,36,562.6
1,0.91,47,429.2
3,1.73,20,484.6
3,1.77,8,430.4
1,1.8,41,471
3,0.86,25,424.2
5,1.54,18,559.8
2,1.35,35,463
7,1.51,22,739.2
2,1.77,11,376.4
1,1.49,14,283.8
4,1.64,11,479.8
7,1.67,37,831.4
1,1.64,27,365.8
4,1.23,25,484.6
2,1.02,23,385.4
1,1.2,23,289
7,1.69,40,849.8
7,0.95,33,728
6,1.31,22,634.2
5,1.03,6,437.6
3,1.38,5,373.6
4,1.66,9,488.2
6,1.68,24,699.6
3,1.04,15,373.8
3,1.71,46,608.2
1,1.39,6,237.8
3,1.15,7,340
5,1.51,27,600.2
7,1.28,16,666.6
6,1.18,24,606.6
3,1.51,9,402.2
1,1.05,41,368
5,1.13,42,674.6
2,1.23,34,452.6
7,1.05,13,605
7,1.21,38,741.2
6,1.37,48,762.4
7,1.54,39,821.8
3,1.57,26,475.4
1,1.62,48,478.4
7,1.54,28,740.8
7,1.48,21,717.6
2,1.04,14,333.8
2,1.2,34,455
4,1.28,27,504.6
5,0.88,36,557.6
3,1.33,21,442.6
7,1.24,21,686.8
7,1.6,18,724
1,1.78,13,331.6
4,1.36,44,652.2
5,1.12,6,491.4
4,0.84,49,557.8
6,1.72,29,700.4
5,1.72,43,736.4
7,1.05,13,595
7,1.5,26,724
5,0.88,47,639.6
7,0.97,8,559.4
3,1.02,30,428.4
5,1.09,33,581.8
4,1.8,49,714
5,1.5,38,659
7,1.18,27,701.6
3,1.54,41,547.8
3,1.72,15,468.4
6,1.76,10,638.2
4,0.86,22,479.2
2,1.19,25,416.8
2,0.91,46,450.2
5,1.14,40,659.8
6,0.97,45,723.4
1,1.45,42,466
5,1.19,38,603.8
6,1.03,21,581.6
4,1.07,41,550.4
4,1.16,29,504.2
4,1.06,42,559.2
4,1.25,16,456
4,0.83,27,451.6
6,1.08,46,709.6
6,1.21,26,622.2
3,1.4,25,472
2,1.07,31,390.4
7,0.93,35,721.6
4,0.88,10,411.6
1,1.74,31,423.8
7,1.22,44,793.4
6,1.38,38,716.6
1,1.72,16,326.4
1,0.88,49,424.6
1,1.68,11,310.6
3,1.35,14,414
6,0.96,49,749.2
1,1.21,21,317.2
4,1.58,30,589.6
5,1.28,25,555.6
1,1.79,32,414.8
3,1.18,6,342.6
7,1.55,47,861
6,1.19,5,520.8
3,1.63,40,585.6
1,1.37,30,360.4
6,0.86,33,609.2
5,0.84,25,551.8
1,0.93,15,261.6
3,0.81,44,498.2
2,0.88,15,284.6
4,1.49,40,603.8
7,1.33,43,817.6
3,1.55,44,577
6,1.71,39,757.2
1,1.39,38,405.8
4,1.53,28,565.6
1,1.56,26,356.2
6,1.18,9,555.6
1,1.04,37,370.8
2,1.01,40,460.2
4,1.05,24,515
4,1.07,23,485.4
6,1.01,39,647.2
7,1.68,47,858.6
2,1.56,21,414.2
3,0.85,49,537
1,1.07,47,405.4
5,0.82,38,587.4
1,1.3,13,283
1,1.28,30,345.6
3,1.63,6,426.6
1,1.11,13,253.2
2,1.62,13,370.4
2,1.77,44,560.4
4,0.89,21,422.8
6,1.59,5,582.8
7,1.39,29,739.8
5,1.28,47,683.6
1,1.22,44,441.4
1,1.58,46,506.6
3,1.44,29,516.8
6,1.61,43,752.2
2,1.7,39,522
5,1.42,7,516.4
4,1.78,41,682.6
2,1.41,48,542.2
6,1.44,48,790.8
7,1.35,34,761
4,0.89,42,536.8
7,1.53,38,765.6
3,1.35,16,450
3,1.25,23,420
1,1.71,41,448.2
7,1.1,48,767
6,1.32,21,601.4
5,1.5,14,558
4,1.6,16,512
2,1.26,20,372.2
6,1.64,28,706.8
6,1.57,23,682.4
3,0.87,12,325.4
7,0.85,35,674
1,1.42,25,332.4
1,1.15,21,322
4,1.01,27,493.2
3,1.38,41,539.6
6,1.14,20,612.8
5,1.34,10,538.8
3,1.26,12,367.2
4,1.38,29,530.6
4,1.2,22,483
3,1.5,29,490
4,0.98,16,410.6
3,1.5,19,430
2,1.21,30,442.2
3,1.67,45,596.4
7,1.32,49,818.4
3,1.77,30,514.4
4,1.4,36,598
7,1.02,14,641.4
4,1.62,20,545.4
1,1.15,11,236
1,1.15,21,283
7,0.83,27,641.6
2,1.35,30,455
1,1.33,25,325.6
3,1.16,26,441.2
4,1.69,11,478.8
1,0.93,18,243.6
1,1.13,19,284.6
2,1.12,11,323.4
7,0.89,13,611.8
7,1.28,12,660.6
6,1.49,27,661.8
2,1.31,33,466.2
3,0.96,22,420.2
7,1.18,35,741.6
4,0.8,34,520
2,1.67,43,512.4
1,0.88,39,358.6
4,1.4,22,542
4,1.79,46,706.8
1,1.34,43,459.8
2,1.72,21,432.4
1,1.04,18,294.8
6,1.56,35,735.2
4,1.33,28,526.6
5,1.52,39,652.4
5,0.86,48,630.2
3,0.95,49,527
7,0.93,38,712.6
1,1.49,7,279.8
1,1.64,41,462.8
3,1.55,47,626
3,0.83,44,509.6
3,1.67,30,558.4
4,1.15,27,485
6,1.2,48,741
1,0.9,43,362
4,1.54,19,539.8
3,0.98,8,341.6
1,1.36,33,386.2
4,1.64,26,589.8
6,0.89,29,595.8
4,1.34,17,487.8
6,1.03,22,569.6
3,1.14,37,482.8
6,1.27,20,630.4
1,1.16,49,443.2
3,1.45,46,574
1,1.28,48,453.6
5,1.38,6,522.6
2,1.54,39,492.8
6,1.36,46,742.2
2,1.39,38,482.8
2,1.36,34,426.2
6,1.18,17,583.6
3,1.14,17,414.8
5,1.7,22,603
1,1.41,36,438.2
4,1.04,36,537.8
1,1.3,39,430
4,1.13,43,608.6
1,1.73,33,452.6
6,0.81,33,623.2
5,1.03,48,673.6
4,1.17,20,485.4
7,1.29,48,841.8
3,1.65,14,470
1,0.89,34,339.8
1,1.61,29,403.2
4,0.86,43,529.2
3,1.64,24,480.8
3,0.85,9,330
6,0.82,5,488.4
7,1.5,34,745
6,1.8,7,619
6,1.7,49,820
6,1.38,18,635.6
6,1.72,34,756.4
6,0.81,8,524.2
5,1.78,22,646.6
3,1.29,41,520.8
6,1.52,29,659.4
3,1.62,5,413.4
3,1.52,19,444.4
2,1.34,13,354.8
5,1.28,19,538.6
6,1.64,28,680.8
1,1.01,8,223.2
4,1.77,16,536.4
7,1.51,41,801.2
1,1,41,362
5,1.54,47,724.8
4,1.33,10,466.6
5,1.51,43,695.2
3,1.57,28,500.4
4,0.89,15,432.8
3,1.31,17,435.2
1,1.73,38,440.6
1,1.12,29,322.4
4,1.39,11,432.8
4,1.17,8,444.4
6,1.25,12,576
5,1.35,24,556
6,1.35,33,694
5,1,49,679
6,1.48,14,617.6
3,0.89,47,544.8
4,0.94,38,571.8
1,0.8,30,322
5,0.92,45,618.4
5,1.27,7,512.4
1,1.41,10,287.2
6,1.59,9,589.8
5,0.91,9,443.2
7,1.65,27,724
3,1.55,13,439
4,1.21,39,555.2
1,1.73,24,373.6
4,1.79,46,712.8
7,1.01,39,730.2
5,1.18,22,577.6
5,1.73,21,609.6
7,1.52,28,713.4
1,0.85,7,201
3,1.58,36,555.6
2,1.63,39,484.6
1,1.55,42,426
2,1.6,17,406
7,1.63,29,741.6
6,0.99,13,568.8
2,1.04,8,289.8
3,1.43,18,455.6
6,1.71,41,762.2
2,1.12,38,460.4
7,1.39,15,661.8
6,1.48,45,742.6
7,1.25,7,584
2,1.51,32,433.2
7,1.7,33,812
3,1.42,13,398.4
2,1.34,7,300.8
2,1.24,29,392.8
2,1.38,38,473.6
1,1.16,16,258.2
1,1.19,46,413.8
1,1.33,13,283.6
3,0.87,19,389.4
6,1.03,44,673.6
7,1.34,29,699.8
5,1.23,9,481.6
2,1.13,15,307.6
7,1.53,38,805.6
2,1.49,28,419.8
3,0.97,19,361.4
2,1.68,42,557.6
1,1.3,12,299
5,1.54,9,518.8
4,1.37,30,551.4
2,1.8,22,472
7,1.55,10,668
1,1.51,41,452.2
4,1.58,17,530.6
5,0.94,32,578.8
4,1,9,386
1,1.51,17,332.2
6,1.29,21,637.8
6,1.55,44,784
4,0.9,49,618
3,1.34,36,533.8
7,1.18,33,751.6
7,1.26,7,603.2
4,1.4,44,644
2,1.3,38,450
2,1.34,44,475.8
7,1.29,31,742.8
7,1.21,17,678.2
6,1.57,49,782.4
3,0.81,37,481.2
1,1.4,10,261
2,1.37,28,395.4
7,1.52,23,695.4
6,1.4,20,634
5,1.63,44,704.6
6,1.76,32,726.2
2,1.14,37,439.8
2,1.03,45,438.6
6,1.22,17,615.4
1,1.09,47,429.8
4,1.41,49,629.2
2,1.71,29,476.2
6,0.94,46,724.8
3,1.43,18,455.6
6,1.71,41,762.2
2,1.12,38,460.4
7,1.39,15,661.8
6,1.48,45,742.6
7,1.25,7,584
2,1.51,32,433.2
7,1.7,33,812
3,1.42,13,398.4
2,1.34,7,300.8
2,1.24,29,392.8
2,1.38,38,473.6
1,1.16,16,258.2
1,1.19,46,413.8
1,1.33,13,283.6
3,0.87,19,389.4
6,1.03,44,673.6
7,1.34,29,699.8
5,1.23,9,481.6
2,1.13,15,307.6
7,1.53,38,805.6
2,1.49,28,419.8
3,1.43,18,455.6
6,1.71,41,762.2
2,1.12,38,460.4
7,1.39,15,661.8
6,1.48,45,742.6
7,1.25,7,584
2,1.51,32,433.2
7,1.7,33,812
3,1.42,13,398.4
2,1.34,7,300.8
2,1.24,29,392.8
2,1.38,38,473.6
1,1.16,16,258.2
1,1.19,46,413.8
1,1.33,13,283.6
3,0.87,19,389.4
6,1.03,44,673.6
7,1.34,29,699.8
5,1.23,9,481.6
2,1.13,15,307.6
7,1.53,38,805.6
2,1.49,28,419.8
7,1.29,31,742.8
7,1.21,17,678.2
6,1.57,49,782.4
3,0.81,37,481.2
1,1.4,10,261
2,1.37,28,395.4
7,1.52,23,695.4
6,1.4,20,634
5,1.63,44,704.6
6,1.76,32,726.2
2,1.14,37,439.8
2,1.03,45,438.6
6,1.22,17,615.4
1,1.09,47,429.8
4,1.41,49,629.2
2,1.71,29,476.2
6,0.94,46,724.8
3,1.43,18,455.6
6,1.71,41,762.2
2,1.12,38,460.4
7,1.39,15,661.8
6,1.48,45,742.6
7,1.25,7,584
2,1.51,32,433.2
7,1.7,33,812
3,1.42,13,398.4
2,1.34,7,300.8
2,1.24,29,392.8
2,1.38,38,473.6
1,1.16,16,258.2
1,1.19,46,413.8
6,1.44,48,790.8
7,1.35,34,761
4,0.89,42,536.8
7,1.53,38,765.6
3,1.35,16,450
3,1.25,23,420
1,1.71,41,448.2
7,1.1,48,767
6,1.32,21,601.4
5,1.5,14,558
4,1.6,16,512
2,1.26,20,372.2
6,1.64,28,706.8
6,1.57,23,682.4
3,0.87,12,325.4
7,0.85,35,674
1,1.42,25,332.4
1,1.15,21,322
4,1.01,27,493.2
3,1.38,41,539.6
6,1.14,20,612.8
5,1.34,10,538.8
3,1.26,12,367.2
4,1.38,29,530.6
4,1.2,22,483
3,1.5,29,490
4,0.98,16,410.6
3,1.5,19,430
2,1.21,30,442.2
3,1.67,45,596.4
7,1.32,49,818.4
3,1.77,30,514.4
4,1.4,36,598
7,1.02,14,641.4
4,1.62,20,545.4
1,1.15,11,236
1,1.15,21,283
7,0.83,27,641.6
2,1.35,30,455
1,1.33,25,325.6
3,1.16,26,441.2
4,1.69,11,478.8
1,0.93,18,243.6
1,1.13,19,284.6
2,1.12,11,323.4
7,0.89,13,611.8
7,1.28,12,660.6
6,1.49,27,661.8
2,1.31,33,466.2
3,0.96,22,420.2
7,1.18,35,741.6
4,0.8,34,520
2,1.67,43,512.4
1,0.88,39,358.6
4,1.4,22,542
4,1.79,46,706.8
1,1.34,43,459.8
2,1.72,21,432.4
1,1.04,18,294.8
6,1.56,35,735.2
4,1.33,28,526.6
5,1.52,39,652.4
5,0.86,48,630.2
3,0.95,49,527
7,0.93,38,712.6
1,1.49,7,279.8
1,1.64,41,462.8
3,1.55,47,626
3,0.83,44,509.6
3,1.67,30,558.4
4,1.15,27,485
6,1.2,48,741
1,0.9,43,362
4,1.54,19,539.8
3,0.98,8,341.6
1,1.36,33,386.2
4,1.64,26,589.8
6,0.89,29,595.8
4,1.34,17,487.8
6,1.03,22,569.6
3,1.14,37,482.8
6,1.27,20,630.4
1,1.16,49,443.2
3,1.45,46,574
1,1.28,48,453.6
5,1.38,6,522.6
2,1.54,39,492.8
6,1.36,46,742.2
2,1.39,38,482.8
2,1.36,34,426.2
6,1.18,17,583.6
3,1.14,17,414.8
5,1.7,22,603
1,1.41,36,438.2
4,1.04,36,537.8
1,1.3,39,430
4,1.13,43,608.6
1,1.73,33,452.6
6,0.81,33,623.2
5,1.03,48,673.6
4,1.17,20,485.4
7,1.29,48,841.8
3,1.65,14,470
1,0.89,34,339.8
1,1.61,29,403.2
4,0.86,43,529.2
3,1.64,24,480.8
3,0.85,9,330
6,0.82,5,488.4
7,1.5,34,745
6,1.8,7,619
6,1.7,49,820
6,1.38,18,635.6
6,1.72,34,756.4
6,0.81,8,524.2
5,1.78,22,646.6
3,1.29,41,520.8
6,1.52,29,659.4
3,1.62,5,413.4
3,1.52,19,444.4
2,1.34,13,354.8
5,1.28,19,538.6
6,1.64,28,680.8
1,1.01,8,223.2
4,1.77,16,536.4
7,1.51,41,801.2
1,1,41,362
5,1.54,47,724.8
4,1.33,10,466.6
5,1.51,43,695.2
3,1.57,28,500.4
4,0.89,15,432.8
3,1.31,17,435.2
1,1.73,38,440.6
1,1.12,29,322.4
4,1.39,11,432.8
4,1.17,8,444.4
6,1.25,12,576
5,1.35,24,556
6,1.35,33,694
5,1,49,679
6,1.48,14,617.6
3,0.89,47,544.8
4,0.94,38,571.8
1,0.8,30,322
5,0.92,45,618.4
5,1.27,7,512.4
1,1.41,10,287.2
6,1.59,9,589.8
5,0.91,9,443.2
7,1.65,27,724
3,1.55,13,439
4,1.21,39,555.2
1,1.73,24,373.6
4,1.79,46,712.8
7,1.01,39,730.2
5,1.18,22,577.6
5,1.73,21,609.6
7,1.52,28,713.4
1,0.85,7,201
3,1.58,36,555.6
2,1.63,39,484.6
1,1.55,42,426
2,1.6,17,406
7,1.63,29,741.6
6,0.99,13,568.8
2,1.04,8,289.8
3,1.43,18,455.6
6,1.71,41,762.2
2,1.12,38,460.4
7,1.39,15,661.8
6,1.48,45,742.6
7,1.25,7,584
2,1.51,32,433.2
7,1.7,33,812
3,1.42,13,398.4
2,1.34,7,300.8
2,1.24,29,392.8
2,1.38,38,473.6
1,1.16,16,258.2
1,1.19,46,413.8
1,1.33,13,283.6
3,0.87,19,389.4
6,1.03,44,673.6
7,1.34,29,699.8
5,1.23,9,481.6
2,1.13,15,307.6
7,1.53,38,805.6
2,1.49,28,419.8
3,0.97,19,361.4
2,1.68,42,557.6
1,1.3,12,299
5,1.54,9,518.8
4,1.37,30,551.4
2,1.8,22,472
7,1.55,10,668
1,1.51,41,452.2
4,1.58,17,530.6
5,0.94,32,578.8
4,1,9,386
1,1.51,17,332.2
6,1.29,21,637.8
6,1.55,44,784
4,0.9,49,618
3,1.34,36,533.8
7,1.18,33,751.6
7,1.26,7,603.2
4,1.4,44,644
2,1.3,38,450
2,1.34,44,475.8
7,1.29,31,742.8
7,1.21,17,678.2
6,1.57,49,782.4
3,0.81,37,481.2
1,1.4,10,261
2,1.37,28,395.4
7,1.52,23,695.4
6,1.4,20,634
5,1.63,44,704.6
6,1.76,32,726.2
2,1.14,37,439.8
2,1.03,45,438.6
6,1.22,17,615.4
1,1.09,47,429.8
4,1.41,49,629.2
2,1.71,29,476.2
6,0.94,46,724.8
3,1.43,18,455.6
6,1.71,41,762.2
2,1.12,38,460.4
7,1.39,15,661.8
6,1.48,45,742.6
7,1.25,7,584
2,1.51,32,433.2
7,1.7,33,812
3,1.42,13,398.4
2,1.34,7,300.8
2,1.24,29,392.8
2,1.38,38,473.6
1,1.16,16,258.2
1,1.19,46,413.8
1,1.33,13,283.6
3,0.87,19,389.4
6,1.03,44,673.6
7,1.34,29,699.8
5,1.23,9,481.6
2,1.13,15,307.6
7,1.53,38,805.6
2,1.49,28,419.8
3,1.43,18,455.6
6,1.71,41,762.2
2,1.12,38,460.4
7,1.39,15,661.8
6,1.48,45,742.6
7,1.25,7,584
2,1.51,32,433.2
7,1.7,33,812
3,1.42,13,398.4
2,1.34,7,300.8
2,1.24,29,392.8
2,1.38,38,473.6
1,1.16,16,258.2
1,1.19,46,413.8
1,1.33,13,283.6
3,0.87,19,389.4
6,1.03,44,673.6
7,1.34,29,699.8
5,1.23,9,481.6
2,1.13,15,307.6
7,1.53,38,805.6
2,1.49,28,419.8
7,1.29,31,742.8
7,1.21,17,678.2
6,1.57,49,782.4
3,0.81,37,481.2
1,1.4,10,261
2,1.37,28,395.4
7,1.52,23,695.4
6,1.4,20,634
5,1.63,44,704.6
6,1.76,32,726.2
2,1.14,37,439.8
2,1.03,45,438.6
6,1.22,17,615.4
1,1.09,47,429.8
4,1.41,49,629.2
2,1.71,29,476.2
6,0.94,46,724.8
3,1.43,18,455.6
6,1.71,41,762.2
2,1.12,38,460.4
7,1.39,15,661.8
6,1.48,45,742.6
7,1.25,7,584
2,1.51,32,433.2
7,1.7,33,812
3,1.42,13,398.4
2,1.34,7,300.8
2,1.24,29,392.8
2,1.38,38,473.6
1,1.16,16,258.2
1,1.19,46,413.8
1,1.33,13,283.6
3,0.87,19,389.4
6,1.03,44,673.6
7,1.34,29,699.8
5,1.23,9,481.6
2,1.13,15,307.6
7,1.53,38,805.6
